date,time,tip,bs,sp,target,stoploss,symbol,open,close,high,low,profit,sector
2022-12-05,08:33:22,"

TECHM ABOVE 1122
TARGETS 1128-1132, 1138-1142, 1148-1152,
1158-1162 SL 1106

",BUY,1122,"1128,1132,1138,1142,1148,1152,1158,1162",1106,TECHM.NS,1120,1099.75,1120,1096.25,0,Technology
2022-12-05,08:31:16,"

COFORGE ABOVE 4255
TARGETS 4270-4275, 4288-4292, 4300-4305,
4320-4325 SL 4225

",BUY,4255,"4270,4275,4288,4292,4300,4305,4320,4325",4225,COFORGE.NS,4265,4191.7998046875,4265,4176.10009765625,-0.705052878965923,Technology
2022-12-02,09:20:06,"

BANKBARODA ABOVE
173.50 TARGETS 175, 178, 182, 185, 189 SL
169

",BUY,173.5,175178182185189,169,BANKBARODA.NS,171.800003051758,171.199996948242,174.25,170.600006103516,-1.18155795490364,Financial Services
2022-12-02,09:14:30,"

ULTRATECH CEM ABOVE
7290 TARGETS 7300-7305, 7320-7325,
7345-7350, 7370-7375 SL 7260

",BUY,7290,"7300,7305,7320,7325,7345,7350,7370,7375",7260,ULTRACEMCO.NS,7275,7237.0498046875,7299,7159,-0.411522633744856,Basic Materials
2022-12-02,08:33:34,"

PEL ABOVE 865 TARGETS
875-880, 888-892, 898-902 SL 850

",BUY,865,8.75880888892899E+017,850,PEL.NS,868.849975585938,859.700012207031,869.5,853,-0.62428027908237,Healthcare
2022-12-02,08:32:24,"

OBEROI! REALITY ABOVE
962 TARGETS 968-972, 978-982, 988-992 SL
945

",BUY,962,9.68972978982989E+017,945,OBEROIRLTY.NS,965,954.25,976.900024414062,948.700012207031,0.623700623700624,Real Estate
2022-12-02,08:31:28,"

MUTHOOTFIN ABOVE 1115
TARGETS 1122, 1130, 1138, 1146 SL
1098

",BUY,1115,"1122,1130,1138,1146",1098,MUTHOOTFIN.NS,1113.30004882813,1135.75,1138.34997558594,1105.59997558594,0.62780269058296,Financial Services
2022-12-02,08:29:46,"

DIXON TECH ABOVE 4392
TARGETS 4400-4405, 4415-4420, 4435-4440,
4448-4452 SL 4372

",BUY,4392,"4400,4405,4415,4420,4435,4440,4448,4452",4372,DIXON.NS,4389,4375.14990234375,4414.89990234375,4360,0.182149362477231,Technology
2022-12-02,08:28:29,"

CUMMINS ABOVE 1442
TARGETS 1448-1452, 1458-1462, 1468-1472,
1478-1482 SL 1422

",BUY,1442,"1448,1452,1458,1462,1468,1472,1478,1482",1422,CUMMINSIND.NS,1426.69995117188,1442.09997558594,1444.5,1426.69995117188,0,Industrials
2022-12-02,08:26:47,"

ASTRAL ABOVE 1932
TARGETS 1938-1942, 1948-1952, 1958-1962,
1968-1972 SL1915

",BUY,1932,"1938,1942,1948,1952,1958,1962,1968,1972",1915,ASTRAL.NS,1452.75,1513.76245117188,1518.75,1447.5,0.31055900621118,Industrials
2022-11-30,10:41:21,"

M&M ABOVE 1282
TARGETS 1288-1292, 1298-1302, 1308-1312,
1318-1322 SL 1268

",BUY,1282,"1288,1292,1298,1302,1308,1312,1318,1322",1268,M&M.NS,1262.09997558594,1305.59997558594,1316,1257.65002441406,0.46801872074883,Consumer Cyclical
2022-11-30,08:35:31,"

SUNPHARMA ABOVE 1052
TARGETS 1058-1062, 1068-1072, 1078-1082,
1088-1092 SL 1040

",BUY,1052,"1058,1062,1068,1072,1078,1082,1088,1092",1040,SUNPHARMA.NS,1053,1046.05004882813,1058.30004882813,1039.34997558594,0.570342205323194,Healthcare
2022-11-30,08:33:52,"

ICICIPRU ABOVE 473
TARGETS 478-482, 488-492, 498-502 SL
462

",BUY,473,4.78482488492499E+017,462,ICICIPRULI.NS,473.5,476.200012207031,478.950012207031,470.549987792969,1.05708245243129,Financial Services
2022-11-30,08:32:19,"

HINDUNILVR ABOVE 2642
TARGETS 2648-2652, 2658-2662, 2670-2675,
2685-2690 SL 2622

",BUY,2642,"2648,2652,2658,2662,2670,2675,2685,2690",2622,HINDUNILVR.NS,2634,2684.35009765625,2698,2623,0.227100681302044,Consumer Defensive
2022-11-30,08:30:24,"

DEEPAK NITRITE ABOVE
2175 TARGETS 2185-2190, 2198-2202,
2208-2211, 2218-2222 SL2155

",BUY,2175,"2185,2190,2198,2202,2208,2211,2218,2222",2155,DEEPAKNTR.NS,2173.94995117187,2175.55004882812,2185.10009765625,2162.44995117187,0.00460219109195402,Basic Materials
2022-11-30,08:28:56,"

HEROMOTO ABOVE 2840
TARGETS 2848-2852, 2858-2862, 2870-2875,
2885-2890 SL 2820

",BUY,2840,"2848,2852,2858,2862,2870,2875,2885,2890",2820,HEROMOTOCO.NS,2831.94995117187,2851.89990234375,2861,2820.10009765625,0.28169014084507,Consumer Cyclical
2022-11-29,08:42:13,"

INFY BELOW 1620
TARGETS 1612, 1602, 1592, 1582 SL
1635,

",SELL,1620,"1612,1602,1592,1582",1635,INFY.NS,1621.19995117188,1629.05004882813,1638.75,1615.05004882813,-0.925925925925926,Technology
2022-11-29,08:41:08,"

MUTHOOT FIN ABOVE 1102
TARGETS 1108-1112, 1118-1122, 1128-1132,
1138-1142 SL 1082

",BUY,1102,"1108,1112,1118,1122,1128,1132,1138,1142",1082,MUTHOOTFIN.NS,1094,1087.05004882813,1099.05004882813,1085.05004882813,0,Financial Services
2022-11-29,08:39:40,"

INDIAN HOTELS ABOVE
328 TARGETS 332, 337, 342, 346 SL
320

",BUY,328,332337342346,320,INDHOTEL.NS,325.5,316.200012207031,326.25,315.049987792969,0,Consumer Cyclical
2022-11-29,08:38:33,"

MCX ABOVE 1582
TARGETS 1588-1592, 1598-1602, 1608-1612,
1618-1622 SL 1562

",BUY,1582,"1588,1592,1598,1602,1608,1612,1618,1622",1562,MCX.NS,1580,1567.59997558594,1589.19995117188,1556.5,0.379266750948167,Financial Services
2022-11-29,08:37:32,"

BHARAT FORGE ABOVE 863
TARGETS 868-872, 878-882, 888-892,
898-902 SL 848

",BUY,863,8.68872878882889E+023,848,BHARATFORG.NS,861.799987792969,848.75,866.150024414062,846,-1.65121668597914,Consumer Cyclical
2022-11-28,08:36:25,"

CANFIN HOMES ABOVE 552
TARGETS 558-562, 568-572, 578-582 SL
535

",BUY,552,5.58562568572579E+017,535,CANFINHOME.NS,546,545.950012207031,554,543,-0.905797101449275,Financial Services
2022-11-28,08:35:13,"

ABCAPITAL ABOVE 136
TARGETS 138, 140, 143, 146 SL 132

",BUY,136,138140143146,132,ABCAPITAL.NS,136.399993896484,137.050003051758,138.300003051758,135,1.47058823529412,Financial Services
2022-11-28,08:34:09,"

ESCORTS ABOVE 2302
TARGETS 2310-2315, 2325-2330, 2338-2342,
2348-2352 SL 2282

",BUY,2302,"2310,2315,2325,2330,2338,2342,2348,2352",2282,ESCORTS.NS,2284.55004882812,2268.75,2303.89990234375,2260.30004882812,-0.868809730668984,Industrials
2022-11-28,08:32:44,"

JKCEM ABOVE 3025
TARGETS 3035-3040, 3048-3052, 3058-3062,
3070-3075 SL 3005

",BUY,3025,"3035,3040,3048,3052,3058,3062,3070,3075",3005,JKCEMENT.NS,3039,3014.69995117187,3055,3003.25,0.330578512396694,Basic Materials
2022-11-28,08:31:24,"

ACC ABOVE 2512
TARGETS 2520-2525, 2535-25 40, 2548-2552,
2558-2562 SL 2492

",BUY,2512,"2520,2525,2535,2540,2548,2552,2558,2562",2492,ACC.NS,2515,2527.10009765625,2543,2500.19995117187,0.318471337579618,Basic Materials
2022-11-28,08:30:09,"

BHEL ABOVE 83 TARGETS
85, 87, 89,92 SL79

",BUY,83,"85,87,89,92",79,BHEL.NS,83,81.4000015258789,84.8499984741211,81.1500015258789,-2.16867837561182,Industrials
2022-11-25,09:14:55,"

ADANI ENT ABOVE 3938
TARGETS 3948-3952, 3960-3965, 3980-3985,
3995-4000 SL 3910

",BUY,3938,"3948,3952,3960,3965,3980,3985,3995,4000",3910,ADANIENT.NS,3929,3901.10009765625,3949.89990234375,3845.30004882812,0.253936008125952,Energy
2022-11-25,08:34:23,"

MUTHOOT FIN ABOVE 1080
TARGETS 1088-1092, 1098-1102, 1108-1112,
1118-1122 SL 1064

",BUY,1080,"1088,1092,1098,1102,1108,1112,1118,1122",1064,MUTHOOTFIN.NS,1070,1078,1083.90002441406,1064.59997558594,-0.342588071469907,Financial Services
2022-11-25,08:33:01,"

PVRABOVE 1825
TARGETS 1835-1840, 1848-1852, 1858-1862,
1868-1872 SL 1805

",BUY,1825,"1835,1840,1848,1852,1858,1862,1868,1872",1805,PVR.NS,1835,1866,1875,1828.30004882812,0,Communication Services
2022-11-25,08:31:51,"

PFC ABOVE 130 TARGETS
132, 135, 138, 140, 143 SL126

",BUY,130,132135138140143,126,PFC.NS,129.899993896484,136.5,136.949996948242,128.050003051758,1.53846153846154,Financial Services
2022-11-25,08:30:51,"

ICICIGI ABOVE 1172
TARGETS 1178-1182, 1188-1192, 1198-1202,
1208-1212 SL 1156

",BUY,1172,"1178,1182,1188,1192,1198,1202,1208,1212",1156,ICICIGI.NS,1175,1159.34997558594,1175,1155,-1.39931948925448,Financial Services
2022-11-25,08:29:37,"

INFY ABOVE 1632
TARGETS 1638-1642, 1648-1652, 1658-1662,
1668-1672 SL 1612

",BUY,1632,"1638,1642,1648,1652,1658,1662,1668,1672",1612,INFY.NS,1631.40002441406,1635.65002441406,1644,1613.80004882813,0.367647058823529,Technology
2022-11-25,08:28:30,"

PERSISTENT SYSTEM
ABOVE 3905 TARGETS 3915-3920, 3935-3940,
3948-3952, 3960-3965 SL 3885

",BUY,3905,"3915,3920,3935,3940,3948,3952,3960,3965",3885,PERSISTENT.NS,3888.30004882813,3970.80004882813,3979,3878.25,0.256081946222791,Technology
2022-11-25,08:26:50,"

BSOFT ABOVE 293
TARGETS 298-302, 308-312 SL 283

",BUY,293,298302308312,283,BSOFT.NS,294.600006103516,293.899993896484,296.25,291,0.170648464163823,Technology
2022-11-24,08:36:04,"

MPHASIS BELOW 1898
TARGETS 1892, 1882, 1872, 1862 SL
1914

",SELL,1898,"1892,1882,1872,1862",1914,MPHASIS.NS,1909.15002441406,1941.25,1948.19995117188,1901.05004882813,0,Technology
2022-11-24,08:34:53,"

DR. REDDY ABOVE 4422
TARGETS 4430-4435, 4450-4455, 4470-4475,
4485-4490 SL 4392

",BUY,4422,"4430,4435,4450,4455,4470,4475,4485,4490",4392,DRREDDY.NS,4427.7001953125,4413.85009765625,4439.9501953125,4375.85009765625,0.180913613749435,Healthcare
